Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1,F1,F1,F1,F1,F1
Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Metric,Mismatch,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
0.7127955493741307,0.7155771905424201,0.7261474269819194,0.7201668984700974,0.6944367176634214,0.6123783031988873,0.5600834492350487,0.7168289290681502,0.7513212795549374,0.7077255362021225,0.7112847996430571,0.7887507398189998,0.789206810033404,0.7834324489441808,0.7549068893462232,0.5843084790900896,0.7755931239077676,0.7457815753263395,0.6728971962616822,0.6787117046347211,0.6651929943887094,0.6374774774774775,0.5520897043832824,0.28114521537271087,0.06281481481481481,0.6460361613351877,0.7140115163147792
0.7396383866481224,0.7222531293463144,0.7481223922114048,0.7404728789986091,0.709596662030598,0.6161335187760779,0.5621696801112657,0.7151599443671767,0.7603616133518776,0.7316729171548945,0.714405703954639,0.8164234696195464,0.8160748779323086,0.811433635313198,0.7801686048380116,0.6029617313105632,0.7810092753695264,0.7561118295894914,0.6927117531188444,0.6733191558972681,0.6835575746985847,0.6571113561190739,0.5682382133995038,0.2853443811496634,0.09799426934097422,0.6303249097472924,0.7280189423835832
0.7094575799721836,0.7082058414464534,0.7182197496522948,0.7146036161335187,0.6995827538247567,0.6109874826147427,0.5585535465924896,0.7100139082058414,0.7581363004172462,0.7022228232783241,0.6997924166998407,0.7784662685152192,0.7800945545177302,0.7780224748586652,0.763713091056637,0.5989667673578994,0.7617217473592304,0.7547262206397712,0.6611516626115166,0.6551610782380013,0.6569590247206231,0.6391136123812874,0.5820433436532507,0.28775146422205244,0.09417808219178082,0.6216657593903103,0.7280688037529319
0.7141863699582753,0.7130737134909597,0.7164116828929068,0.7136300417246175,0.6895688456189152,0.6080667593880389,0.5603616133518776,0.7102920723226703,0.7728789986091794,0.7045845358690915,0.7054168395745555,0.7874147062684964,0.7855904645081976,0.7783064777765762,0.7647637141857816,0.6076629492154771,0.7788453170131744,0.7648482816846033,0.6573286643321661,0.6636230229903799,0.6362176628010705,0.6126058325493885,0.5322715842414082,0.2556788166930798,0.07600116924875767,0.6213415742592256,0.7306613887514432
0.7265646731571628,0.7315716272600834,0.733240611961057,0.7201668984700974,0.6863699582753825,0.6072322670375522,0.556606397774687,0.7112656467315717,0.7773296244784422,0.7209066886987873,0.7259954392196613,0.8036833739671758,0.7977940667630494,0.7818263311209726,0.743829759017425,0.5756714123773194,0.7691094201781726,0.7751587136075322,0.6860427978281699,0.691890166028097,0.6671294689343977,0.6302829841969864,0.5357216388717315,0.28142493638676847,0.09943502824858758,0.6431763492609144,0.7524354414720891
0.729068150208623,0.7307371349095967,0.7393602225312934,0.7297635605006955,0.6898470097357441,0.6051460361613352,0.5547983310152991,0.7154381084840056,0.7688456189151599,0.7237532080326847,0.7255261932090931,0.8124277237205227,0.8139691745797685,0.8089916168312703,0.7824504025107986,0.6099000195564785,0.7847652374172905,0.7654194544031829,0.6900063653723743,0.6922098569157392,0.677007928300586,0.6434208111580106,0.5373443983402489,0.27186458066170816,0.10210378681626929,0.635424091233072,0.7397431882242406
0.7132127955493741,0.7126564673157163,0.7210013908205841,0.7179415855354659,0.695827538247566,0.6036161335187761,0.558970792767733,0.7208623087621697,0.7780250347705147,0.7073270954344419,0.7071965103923408,0.7870669356249366,0.7877146999894671,0.7837667310130326,0.7642904802487779,0.6145525222031714,0.7757895097360533,0.7764226126063358,0.6703964194373402,0.6713331212217627,0.6629704301075269,0.6435852372583479,0.5694034258712345,0.2581988547631442,0.07900087133313971,0.6497993369394521,0.754687980325853
0.7191933240611961,0.7207232267037552,0.7229485396383867,0.7144645340751044,0.6913769123783032,0.6268428372739917,0.5563282336578581,0.7139082058414464,0.7817802503477052,0.7175578079259803,0.7185427866582123,0.7993688676345443,0.7975750435876449,0.7918840379803859,0.7803265580027088,0.5988509611020001,0.7777283848327116,0.7800305522081734,0.6916144799144647,0.6914566687154272,0.6768332251784556,0.6488797674020865,0.5786975507879248,0.336055431823806,0.06942823803967328,0.6613991769547325,0.7583551517018328
0.7339360222531294,0.7205841446453407,0.7300417246175244,0.719749652294854,0.6870653685674548,0.5987482614742698,0.5575799721835883,0.708066759388039,0.7681502086230876,0.7277374202229,0.7120859818833976,0.7988106752255387,0.7938382783230159,0.7799129865729646,0.7495091136239218,0.5961524642140295,0.7734228317859005,0.7638677991439408,0.6923942756070107,0.6689734717416378,0.6613156517187228,0.6278855032317636,0.5345469590401324,0.2429808449225925,0.0882774433935225,0.6248436103663986,0.7365259996838944
